scen,ghg,h2o,plastic
scen0,491.42942904109333,117.67177716057112,422.22301090674006
scen6_1,489.479207036293,114.8067807215672,422.22301090674006
scen6_2,478.8368732881339,112.30087035805806,439.64951513924
