scen,item,ghg,h2o,plastic
scen0,bev,331.94784803420197,114.5406342262448,0
scen0,cont,159.48158100689136,3.1311429343263097,422.22301090674006
scen6_1,bev,329.99762602940166,111.67563778724089,0
scen6_1,cont,159.48158100689136,3.1311429343263097,422.22301090674006
scen6_2,bev,323.17817939958996,109.13166994756273,0
scen6_2,cont,155.65869388854395,3.1692004104953497,439.64951513924
