scen,SSB_status,ghg,h2o,plastic
scen0,non_SSB,177.59296338314803,41.997308981266585,251.05067730548
scen0,SSB,313.83646565794527,75.67446817930454,171.17233360126
scen6_1,non_SSB,203.45915266479912,45.006410776745454,305.78992233298004
scen6_1,SSB,286.0200543714939,69.80036994482174,116.43308857376
scen6_2,non_SSB,192.81681891664002,42.50050041323632,323.21642656548
scen6_2,SSB,286.0200543714939,69.80036994482174,116.43308857376
