scen_name,cont_name,Coffee,Coffee + milk,Juice,Almond milk,"Milk, animal",Plant milk,Soy milk,Probiotic,Soda,Tea,"Water, bottled","Water, Filtered tap"
Baseline,Alum. can,0.14727622133046714,4.55851280748631,8.12234737907154,0,0,0,0,0,43.9090049405157,54.70655113407811,0,0
Baseline,Bag-in-box,0,0,63.89010532180827,0,22.41719096734107,5.178435939371117,0,0,212.04331623977222,10.175199078225562,0,0
Baseline,Carton,0,0,1.805157023739575,61.33212641546936,1.907549852790412,2.360674060628883,42.19533,0,0.0029238000043295626,0,0,0
Baseline,Glass,1.5892019618488606,15.590333422831982,5.653554082692987,0,0,0,0,5.575360000000001,4.1128854771487235,35.76085684730966,0,0
Baseline,PET plastic,0.23661781682067212,2.0946907696817054,50.463826192687634,7.939773584530642,55.89452917986851,0,0,0.416703,90.55733954255906,25.721452940386666,104.48889,0
Baseline,Steel (reusable),0,0,0,0,0,0,0,0,0,0,0,0
scen 1,Alum. can,0,0,0,0,0,0,0,0,0,0,0,0
scen 1,Bag-in-box,0,0,0,0,0,0,0,0,0,0,0,0
scen 1,Carton,0,0,0,0,0,0,0,0,0,0,0,0
scen 1,Glass,0,0,0,0,0,0,0,0,0,0,0,0
scen 1,PET plastic,0,0,0,0,0,0,0,0,0,0,0,0
scen 1,Steel (reusable),0,0,0,0,0,0,0,0,0,0,0,940.84768999999994
scen 2.1,Alum. can,0.4017157184149895,0.055556178490814755,0.6340486045311381,0,0,0,0,0,69.72822383579386,2.709446961387932,0,0
scen 2.1,Bag-in-box,0,0,0,0,0,0,0,0,107.76246580754129,27.282573691414843,0,0
scen 2.1,Carton,0,0,3.426109125976499,1.53849,4.768153266546556,0,31.69286,0,0,0,0,0
scen 2.1,Glass,2.857623607236715,1.2760604340953854,2.008580597226489,0,0,0,0,0,8.671491843370509,5.616011018382768,0,0
scen 2.1,PET plastic,0.5945606743482956,0.21688338741380014,115.20208167226588,0,166.97002673345344,0,0,1.25451,56.19144851329434,15.418568328814453,314.5702,0
scen 2.1,Steel (reusable),0,0,0,0,0,0,0,0,0,0,0,0
scen 2.2,Alum. can,0.2056673154071023,0.7980407352325332,0.6793480307033574,0,0,0,0,0,100.87941020190384,6.709769382942277,0,0
scen 2.2,Bag-in-box,0,0,0,0,0,5.178435939371117,0,0,155.90550561230748,67.56352135741685,0,0
scen 2.2,Carton,0,0,3.670886539412975,69.27189999999999,2.2272142782050417,2.360674060628883,42.19532,0,0,0,0,0
scen 2.2,Glass,1.4630240959035496,18.330062194522483,2.1520830792519736,0,0,0,0,0,12.54549355494676,13.90768644760931,0,0
scen 2.2,PET plastic,0.30439858868934805,3.1154370702449854,123.43266235063169,0,77.99204572179494,0,0,5.99206,81.29506063084192,38.18308281203156,104.48889,0
scen 2.2,Steel (reusable),0,0,0,0,0,0,0,0,0,0,0,0
scen 2.3,Alum. can,0.13343582931954137,0.018453799999999996,0.21060811725361797,0,0,0,0,0,23.161205409792366,0.8999807637184596,0,0
scen 2.3,Bag-in-box,0,0,0,0,0,0,0,0,35.79481117878347,9.062289041608269,0,0
scen 2.3,Carton,0,0,1.1380300932306726,0.51103,1.5838088388204201,0,10.527230000000001,0,0,0,0,0
scen 2.3,Glass,0.9492020312753148,0.42386219999999997,0.6671781546571383,0,0,0,0,0,2.8803573753235963,1.8654367320725505,0,0
scen 2.3,PET plastic,0.19749213940514376,0.07204099999999998,38.26598363485857,0,55.461431161179576,0,0,0.416703,18.664776036100577,5.1214934626007205,732.82087,0
