scen,cont_type,bev_regex,Coffee,Coffee + milk,Juice,Soda,Tea,"Milk, animal",Plant milk,Almond milk,Soy milk,Probiotic,"Water, bottled","Water, Filtered tap"
scen2_1,bag_in_box,Soda,0,0,0,107.76246580754129,0,0,0,0,0,0,0,0
scen2_1,bag_in_box,Tea,0,0,0,0,27.282573691414843,0,0,0,0,0,0,0
scen2_1,carton,Almond~milk,0,0,0,0,0,0,0,1.53849,0,0,0,0
scen2_1,carton,Juice,0,0,3.426109125976499,0,0,0,0,0,0,0,0,0
scen2_1,carton,"Milk*','*~animal",0,0,0,0,0,4.768153266546556,0,0,0,0,0,0
scen2_1,carton,Plant~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen2_1,carton,Soda,0,0,0,0,0,0,0,0,0,0,0,0
scen2_1,carton,Soy~milk,0,0,0,0,0,0,0,0,31.69286,0,0,0
scen2_1,glass,Coffee,2.857623607236715,0,0,0,0,0,0,0,0,0,0,0
scen2_1,glass,Coffee~+ milk,0,1.2760604340953854,0,0,0,0,0,0,0,0,0,0
scen2_1,glass,Juice,0,0,2.008580597226489,0,0,0,0,0,0,0,0,0
scen2_1,glass,Probiotic,0,0,0,0,0,0,0,0,0,0,0,0
scen2_1,glass,Soda,0,0,0,8.671491843370509,0,0,0,0,0,0,0,0
scen2_1,glass,Tea,0,0,0,0,5.616011018382768,0,0,0,0,0,0,0
scen2_1,plastic,Almond~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen2_1,plastic,Coffee,0.5945606743482956,0,0,0,0,0,0,0,0,0,0,0
scen2_1,plastic,Coffee~+ milk,0,0.21688338741380014,0,0,0,0,0,0,0,0,0,0
scen2_1,plastic,Juice,0,0,115.20208167226588,0,0,0,0,0,0,0,0,0
scen2_1,plastic,"Milk*','*~animal",0,0,0,0,0,166.97002673345344,0,0,0,0,0,0
scen2_1,plastic,Probiotic,0,0,0,0,0,0,0,0,0,1.25451,0,0
scen2_1,plastic,Soda,0,0,0,56.19144851329434,0,0,0,0,0,0,0,0
scen2_1,plastic,Tea,0,0,0,0,15.418568328814453,0,0,0,0,0,0,0
scen2_1,plastic,"Water*','*~bottled",0,0,0,0,0,0,0,0,0,0,314.5702,0
scen2_1,steel_bott_reuse,"Water*','*~Filtered tap",0,0,0,0,0,0,0,0,0,0,0,0
scen2_2,alum_can,Coffee,0.2056673154071023,0,0,0,0,0,0,0,0,0,0,0
scen2_2,alum_can,Coffee~+ milk,0,0.7980407352325332,0,0,0,0,0,0,0,0,0,0
scen2_2,alum_can,Juice,0,0,0.6793480307033574,0,0,0,0,0,0,0,0,0
scen2_2,alum_can,Soda,0,0,0,100.87941020190384,0,0,0,0,0,0,0,0
scen2_2,alum_can,Tea,0,0,0,0,6.709769382942277,0,0,0,0,0,0,0
scen2_2,bag_in_box,Juice,0,0,0,0,0,0,0,0,0,0,0,0
scen2_2,bag_in_box,"Milk*','*~animal",0,0,0,0,0,0,0,0,0,0,0,0
scen2_2,bag_in_box,Plant~milk,0,0,0,0,0,0,5.178435939371117,0,0,0,0,0
scen2_2,bag_in_box,Soda,0,0,0,155.90550561230748,0,0,0,0,0,0,0,0
scen2_2,bag_in_box,Tea,0,0,0,0,67.56352135741685,0,0,0,0,0,0,0
scen2_2,carton,Almond~milk,0,0,0,0,0,0,0,69.27189999999999,0,0,0,0
scen2_2,carton,Juice,0,0,3.670886539412975,0,0,0,0,0,0,0,0,0
scen2_2,carton,"Milk*','*~animal",0,0,0,0,0,2.2272142782050417,0,0,0,0,0,0
scen2_2,carton,Plant~milk,0,0,0,0,0,0,2.360674060628883,0,0,0,0,0
scen2_2,carton,Soda,0,0,0,0,0,0,0,0,0,0,0,0
scen2_2,carton,Soy~milk,0,0,0,0,0,0,0,0,42.19532,0,0,0
scen2_2,glass,Coffee,1.4630240959035496,0,0,0,0,0,0,0,0,0,0,0
scen2_2,glass,Coffee~+ milk,0,18.330062194522483,0,0,0,0,0,0,0,0,0,0
scen2_2,glass,Juice,0,0,2.1520830792519736,0,0,0,0,0,0,0,0,0
scen2_2,glass,Probiotic,0,0,0,0,0,0,0,0,0,0,0,0
scen2_2,glass,Soda,0,0,0,12.54549355494676,0,0,0,0,0,0,0,0
scen2_2,glass,Tea,0,0,0,0,13.90768644760931,0,0,0,0,0,0,0
scen2_2,plastic,Almond~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen2_2,plastic,Coffee,0.30439858868934805,0,0,0,0,0,0,0,0,0,0,0
scen2_2,plastic,Coffee~+ milk,0,3.1154370702449854,0,0,0,0,0,0,0,0,0,0
scen2_2,plastic,Juice,0,0,123.43266235063169,0,0,0,0,0,0,0,0,0
scen2_2,plastic,"Milk*','*~animal",0,0,0,0,0,77.99204572179494,0,0,0,0,0,0
scen2_2,plastic,Probiotic,0,0,0,0,0,0,0,0,0,5.99206,0,0
scen2_2,plastic,Soda,0,0,0,81.29506063084192,0,0,0,0,0,0,0,0
scen2_2,plastic,Tea,0,0,0,0,38.18308281203156,0,0,0,0,0,0,0
scen2_2,plastic,"Water*','*~bottled",0,0,0,0,0,0,0,0,0,0,104.48889,0
scen2_2,steel_bott_reuse,"Water*','*~Filtered tap",0,0,0,0,0,0,0,0,0,0,0,0
scen2_3,alum_can,Coffee,0.13343582931954137,0,0,0,0,0,0,0,0,0,0,0
scen2_3,alum_can,Coffee~+ milk,0,0.018453799999999996,0,0,0,0,0,0,0,0,0,0
scen2_3,alum_can,Juice,0,0,0.21060811725361797,0,0,0,0,0,0,0,0,0
scen2_3,alum_can,Soda,0,0,0,23.161205409792366,0,0,0,0,0,0,0,0
scen2_3,alum_can,Tea,0,0,0,0,0.8999807637184596,0,0,0,0,0,0,0
scen2_3,bag_in_box,Juice,0,0,0,0,0,0,0,0,0,0,0,0
scen2_3,bag_in_box,"Milk*','*~animal",0,0,0,0,0,0,0,0,0,0,0,0
scen2_3,bag_in_box,Plant~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen2_3,bag_in_box,Soda,0,0,0,35.79481117878347,0,0,0,0,0,0,0,0
scen2_3,bag_in_box,Tea,0,0,0,0,9.062289041608269,0,0,0,0,0,0,0
scen2_3,carton,Almond~milk,0,0,0,0,0,0,0,0.51103,0,0,0,0
scen2_3,carton,Juice,0,0,1.1380300932306726,0,0,0,0,0,0,0,0,0
scen2_3,carton,"Milk*','*~animal",0,0,0,0,0,1.5838088388204201,0,0,0,0,0,0
scen2_3,carton,Plant~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen2_3,carton,Soda,0,0,0,0,0,0,0,0,0,0,0,0
scen2_3,carton,Soy~milk,0,0,0,0,0,0,0,0,10.527230000000001,0,0,0
scen2_3,glass,Coffee,0.9492020312753148,0,0,0,0,0,0,0,0,0,0,0
scen2_3,glass,Coffee~+ milk,0,0.42386219999999997,0,0,0,0,0,0,0,0,0,0
scen2_3,glass,Juice,0,0,0.6671781546571383,0,0,0,0,0,0,0,0,0
scen2_3,glass,Probiotic,0,0,0,0,0,0,0,0,0,0,0,0
scen2_3,glass,Soda,0,0,0,2.8803573753235963,0,0,0,0,0,0,0,0
scen2_3,glass,Tea,0,0,0,0,1.8654367320725505,0,0,0,0,0,0,0
scen2_3,plastic,Almond~milk,0,0,0,0,0,0,0,0,0,0,0,0
scen2_3,plastic,Coffee,0.19749213940514376,0,0,0,0,0,0,0,0,0,0,0
scen2_3,plastic,Coffee~+ milk,0,0.07204099999999998,0,0,0,0,0,0,0,0,0,0
scen2_3,plastic,Juice,0,0,38.26598363485857,0,0,0,0,0,0,0,0,0
