distrib,bev_type,cont_type,SSB_status,vol_cont,mix_r_avg,vol_kL
Dining + Vending,milk_soy,carton,non_SSB,NA,NA,10.527227299999998
Dining + Vending,milk_soy,carton,SSB,NA,NA,31.6680968
Dining + Vending,probiotic,plastic,non_SSB,NA,NA,0.4167025
Dining + Vending,probiotic,glass,SSB,NA,NA,5.5753618
Dining + Vending,soda,alum_can,non_SSB,NA,NA,23.161203999999998
Dining + Vending,soda,bag_in_box,non_SSB,NA,NA,35.794809
Dining + Vending,soda,glass,non_SSB,NA,NA,2.8803571999999997
Dining + Vending,soda,plastic,non_SSB,NA,NA,18.6647749
Dining + Vending,soda,alum_can,SSB,NA,NA,20.7477995
Dining + Vending,soda,bag_in_box,SSB,NA,NA,176.2485048
Dining + Vending,soda,carton,SSB,NA,NA,0.0029238
Dining + Vending,soda,glass,SSB,NA,NA,1.2325281
Dining + Vending,soda,plastic,SSB,NA,NA,71.8925634
Dining + Vending,tea,alum_can,non_SSB,NA,NA,0.8999807
Dining + Vending,tea,bag_in_box,non_SSB,NA,NA,9.062288400000002
Dining + Vending,tea,glass,non_SSB,NA,NA,1.8654366
Dining + Vending,tea,plastic,non_SSB,NA,NA,5.1214930999999995
Dining + Vending,tea,alum_can,SSB,NA,NA,53.8065686
Dining + Vending,tea,bag_in_box,SSB,NA,NA,1.1129099999999998
Dining + Vending,tea,glass,SSB,NA,NA,33.895419000000004
Dining + Vending,tea,plastic,SSB,NA,NA,20.5999588
Dining + Vending,water_bottled,plastic,non_SSB,NA,NA,104.48888930000001
