imp_name,SSB_status,item,Almond milk,Coffee,Coffee + milk,Juice,"Milk, animal",Plant milk,Probiotic,Soda,Soy milk,Tea,"Water, bottled"
Climate [ t CO2eq (100yr) ],non_SSB,beverage,0.1541919882958,0.5183832669539999,0.40665785034157,37.28036723119801,67.1013015476328,0,0.11333867810432999,3.9638049799764996,6.3966535011113015,1.3567088835199999,3.9618091123512
Climate [ t CO2eq (100yr) ],non_SSB,container,0.054085473286,0.6858127232016742,0.2924917862082199,8.034524746169604,10.934706893506391,0,0.0808972202892,12.232106071796222,1.1141620197260003,2.625878676192149,20.285096944596
Climate [ t CO2eq (100yr) ],SSB,beverage,20.994072954052204,0.28710002703327997,17.5165545206982,85.6854966302962,27.4524546431256,3.4713979761556,1.5603685879712001,21.7420661061552,19.494371236865998,12.4907643106962,0
Climate [ t CO2eq (100yr) ],SSB,container,7.978472784962774,0.42449793886003284,11.359807060965595,9.361515549896524,3.004969422257096,0.36098125708474993,3.6007130048960003,23.892851736688982,3.35163136522,39.80638241799436,0
Plastic Pollution [ kg plastic ],non_SSB,container,0.12070528599999998,0.26803735064241246,0.100899555,42.400008817029715,61.38166992502693,0,0.45837330000000004,22.764842675466287,2.486531726,6.131842762113251,114.937779
Plastic Pollution [ kg plastic ],SSB,container,23.09969391631757,0.07538425148603164,3.096739782978633,17.287098854489813,6.231149920085038,0.7761212097620034,0.278768,87.10051876559844,7.480005219999999,25.74685549413064,0
Water use (Blue) [ M liter (Blue) ],non_SSB,beverage,0.062305855873299995,0.013475173233299999,0.14171147949187,8.330309271076,30.832803902375996,0,0.019648513200959998,0.712501188443,0.06201401702860001,0.17241539801599998,0.2191644018861
Water use (Blue) [ M liter (Blue) ],non_SSB,container,0.002139018271,0.0037971436694979174,0.0014410208350599998,0.22036351451605793,0.31568817380232383,0,0.0023220774674999997,0.21860634478751306,0.044063826611,0.04027791216473819,0.582264339525
Water use (Blue) [ M liter (Blue) ],SSB,beverage,8.774722456570501,0.017568836294599998,6.520710060783599,22.8368666857507,12.831619153105501,0.5456543195239001,0.33247845357440003,14.546416133942401,0.542817201842,7.0254362521176,0
Water use (Blue) [ M liter (Blue) ],SSB,container,0.29882325156602707,0.001731587391887719,0.06399400400000892,0.14695079926361168,0.06145243726848035,0.012102104589970589,0.012702900224,0.562059118739417,0.13255316617,0.40781029848925476,0
