imp_name,beverage,container
Climate [ t CO2eq (100yr) ],340.42518970488317,159.48158509379758
Plastic Pollution [ kg plastic ],0,422.22302581212676
Water use (Blue) [ M liter (Blue) ],123.06728131954743,3.131143039352349
