imp_name,beverage,container
Climate [ t CO2eq (100yr) ],331.94786403253516,159.48158509379758
Plastic Pollution [ kg plastic ],0,422.22302581212676
Water use (Blue) [ M liter (Blue) ],114.54063875413033,3.131143039352349
