distrib,bev_type,SSB_status,cont_type,liter_drink,liter_cont,scen
dining,juice,SSB,alum_can,7849.634899999999,7849.634899999999,scen6_2
dining,juice,SSB,bag_in_box,63890.1024,12889.3129,scen6_2
dining,juice,SSB,carton,667.1269,667.1269,scen6_2
dining,juice,SSB,glass,4986.3757,4986.3757,scen6_2
dining,juice,SSB,plastic,12197.842,12197.842,scen6_2
dining,milk_almond,non_SSB,carton,511.03,511.03,scen6_2
dining,milk_almond,SSB,carton,60821.097299999994,60821.097299999994,scen6_2
dining,milk_almond,SSB,plastic,7939.7737,7939.7737,scen6_2
dining,milk_an,non_SSB,carton,1583.8086999999998,1583.8086999999998,scen6_2
dining,milk_an,non_SSB,plastic,55461.4263,55461.4263,scen6_2
dining,milk_an,SSB,bag_in_box,22417.19,22417.19,scen6_2
dining,milk_an,SSB,carton,323.741,323.741,scen6_2
dining,milk_an,SSB,plastic,433.098,433.098,scen6_2
dining,milk_other_plant,SSB,bag_in_box,5178.438,863.0730000000001,scen6_2
dining,milk_other_plant,SSB,carton,2360.675,2360.675,scen6_2
dining,milk_soy,non_SSB,carton,10527.227299999999,10527.227299999999,scen6_2
dining,milk_soy,SSB,carton,31668.0968,31668.0968,scen6_2
dining,probiotic,non_SSB,plastic,416.7025,416.7025,scen6_2
dining,probiotic,SSB,glass,5575.3618,5575.3618,scen6_2
dining,soda,non_SSB,alum_can,18130.4921,18130.4921,scen6_2
dining,soda,non_SSB,bag_in_box,35794.809,5965.8015,scen6_2
dining,soda,non_SSB,glass,2880.3572,2880.3572,scen6_2
dining,soda,non_SSB,plastic,11166.6967,11166.6967,scen6_2
dining,soda,SSB,alum_can,12251.6541,12251.6541,scen6_2
dining,soda,SSB,bag_in_box,176248.5048,29374.7508,scen6_2
dining,soda,SSB,carton,2.9238,2.9238,scen6_2
dining,soda,SSB,glass,1232.5281,1232.5281,scen6_2
dining,soda,SSB,plastic,30576.4408,30576.4408,scen6_2
dining,tea,non_SSB,alum_can,899.9807,899.9807,scen6_2
dining,tea,non_SSB,bag_in_box,9062.288400000001,1510.3814,scen6_2
dining,tea,non_SSB,glass,1865.4366,1865.4366,scen6_2
dining,tea,non_SSB,plastic,4082.5295,4082.5295,scen6_2
dining,tea,SSB,alum_can,53806.5686,53806.5686,scen6_2
dining,tea,SSB,bag_in_box,1112.9099999999999,185.48499999999999,scen6_2
dining,tea,SSB,glass,33869.7048,33869.7048,scen6_2
dining,tea,SSB,plastic,12687.9676,12687.9676,scen6_2
dining,water_bottled,non_SSB,plastic,80328.7545,80328.7545,scen6_2
vending,juice,non_SSB,plastic,1070.7517,1070.7517,scen6_2
vending,soda,non_SSB,alum_can,5030.7119,5030.7119,scen6_2
vending,soda,non_SSB,plastic,7498.0782,7498.0782,scen6_2
vending,tea,non_SSB,plastic,1038.9636,1038.9636,scen6_2
vending,water_bottled,non_SSB,plastic,25.7142,25.7142,scen6_2
vending,water_bottled,non_SSB,plastic,62.10399999999999,62.10399999999999,scen6_2
vending,water_bottled,non_SSB,plastic,663.1822999999999,663.1822999999999,scen6_2
vending,water_bottled,non_SSB,plastic,7129.9669,7129.9669,scen6_2
vending,water_bottled,non_SSB,plastic,7911.9912,7911.9912,scen6_2
vending,water_bottled,non_SSB,plastic,8496.1454,8496.1454,scen6_2
vending,water_bottled,non_SSB,plastic,24160.1348,24160.1348,scen6_2
vending,water_bottled,non_SSB,plastic,41316.1226,41316.1226,scen6_2
